Question,Response
,"Hi [customer],
Sorry that I missed you a couple of times on the live chat.
I have the answer to your question. The DM556 Stepper Driver and the Nema 23 2.45N.m Stepper Motors are an excellent match for your E5XMCS Motion Controller.
The DM556 driver supports a voltage range of 20-50V and an output current of 1.4 to 5.6A, making it compatible with the Nema 23 motor's rated voltage of 3.6V and current of 3.0A. Additionally, the driver offers micro-step control and optoisolated signal terminals for better performance and reduced interference.

Here are the links to the products for your convenience:
DM556 Stepper Driver:
https://www.makerstore.com.au/product/elec-dm556/Nema 23 2.45N.m 8mm Shaft Stepper Motors:
https://www.makerstore.com.au/product/elec-nema23-8-245nm/
If you have any other questions, please let me know and I would be happy to help.


Kind regards,
[Staff Member]
Maker Store Team"
,"Hi [customer],

We talked on the phone about getting a quote for the WorkBee and Outback machines including a table.

If I remember correctly, you were looking at the 1500x1500mm Outback and 1500x3000mm WorkBee machines so I've gathered some information for you.

Outback 1500x1500mm with Table
Our recommended kit for the Outback is 1500x1500mm and comes with a table. You can find more details at the following link:
https://www.makerstore.com.au/product/kit-wbv3-1530-rc-table/
The special price for this kit is $5,754.83 Inc. GST.
The working area for this machine is 1275x1315x135mm.

WorkBee 1500x3000mm (No Table)
For a larger machine, we recommend the WorkBee 1500x3000mm. More details can be found here:
https://www.makerstore.com.au/product/kit-wbv3-1530-rc/
The special price for this machine is $3,812.73 Inc. GST.
The working area for this machine is 1300x2820x110mm.

1500x3000mm Machine Table
You will need a custom table for this machine.
A custom table for this machine will cost an additional $2,287.40.

The total cost for the 1500x3000mm WorkBee and Table will be $6,100.13.

Purchasing
If you're satisfied with either of these options, please let me know so I can prepare an invoice for you. We'll need the following details:
Your full name
Contact Number
Company (optional)
Physical Address for delivery (PO Box and Parcel Locker not accepted)
Any special delivery instructions

Once we have your details, we'll send you an invoice that includes shipping and GST.

If you have any other questions or need further clarification, feel free to ask. I'm here to help.


Kind regards,

[Staff Member]
Maker Store Team"
,"Hi [customer],

Thanks for getting in contact earlier.

I have more information about the machines you could use for milling moulds.

It sounds like you want a large working height on the Z-Axis so you can cut tall items.
Our machine that has the largest Z-Axis cutting height is the Lead CNC.

We currently have a sale for Father's Day where we have some full kits reduced in price, including the most popular sizes and components that people choose for our machines.

We have kits that include a machine table and some that don't include a table.

1000mm Lead CNC
Our recommended kit for the Lead CNC is 1000x1000mm and that includes a table. You can find that machine at the following link:
https://www.makerstore.com.au/product/kit-lead-1010-rc-table/
The working area for this machine is:
730mm width x 810mm length x 238mm height (with a 12mm wasteboard).

This one has been reduced from $4,643.87 to $4,243.87.

1500mm Lead CNC
If you are looking for a bigger machine, you will be looking at building your own machine with the customisable bundle.
You can find that machine at the following link:
https://www.makerstore.com.au/product/kit-leadv3-cc/
The price for this machine will be approximately $4,229.36, depending on the components you choose. 
The working area for this machine is:
1300mm width x 1270mm length x  238mm height (with a 12mm wasteboard).
You will also need a table for this one.
We have a table on sale which you can see at the following link:
https://www.makerstore.com.au/product/mods-tabl-mach-l150w150h100/
That table has been reduced from $667.00 to $566.95.

The total cost of buying the 1500mm machine and table will be approximately $4,796.31.

Purchasing
If you are happy with either of these quotes, please let me know and I can create an invoice for you.
We will need the following details to add to your invoice:
Your full name
Contact Number
Company (optional)
Physical Address for delivery (PO Box and Parcel Locker not accepted)
Any special delivery instructions

Once we receive your information, we will send you an invoice with shipping and GST included.

If you have any other questions, please let me know and I would be happy to help.


Kind regards,

[Staff Member]
Maker Store Team
"
"10:38 AM 28/08/23
to sales@makerstore.com.au

Morning

 

I’m looking for replacement parts for our CNC cable drag chain.

 

Can you please look at the attached pictures and let me know if your chain looks to be the same? I would like to buy a complete set if they are interchangeable with what we currently have.

 

Regards

[customer]",
,"Hi [customer],

Thanks for your patience while I created this quote for you.

I talked to the engineers, and they suggested these items are recommended to ensure the E5X works as well as possible:
Digital Stepper Driver – DM556
While the TB6600 will technically work with the E5X, it is recommended to replace the TB6600 with DM556 motor drivers to ensure the smooth operation of the controller.
Your LRS-350-24 power supply will be sufficient to power your stepper motors but the engineers recommended upgrading to the Power Supply – 36V 450W if you're upgrading to the DM556 Stepper Drivers as they require more power.
Dual Output Power Supply 5V and 24V
This Dual Output power supply will be required to power up the E5X MCS controller. (The E5X controller requires both 5V and 24V power outputs)
To be clear, the Dual Output Power Supply 5V and 24V – 65W – RD-65B will be required for the E5X to work and the upgraded Stepper Drivers and Power Supply are recommended by the engineers for best performance, but not technically required.

I've created 2 quotes for you:
The first one is for just the E5X and Dual Power Supply which is required for the controller to work.
This is Order #[order number].
You can find the payment link for this one below:
[payment link]
The second one is for all the items that are recommended by the engineers for use with the E5X.
This is Order #[order number].
You can find the payment link for this one below:
[payment link]

If you have any other questions, please let me know and I would be happy to help.


Kind regards,

[Staff Member]
Maker Store Team"
,"Hi [customer],

Thanks for getting back to me regarding your order.

I've attached the invoice which includes all the items required to upgrade your machine to use the E5X as well as 4 x Nema 23 Stepper Motor 2.45N.m.

Here's the link to the IOSender configuration setup I mentioned earlier as well: 
https://makerhardware.net/knowledge-base/electronics/e5x-mcs-t4-1-controller/#articleTOC_22

I attached the updated invoice to this email as a PDF for you.

Here's the payment link for the order once you're ready:
[payment link]
If you have any further questions, please let me know and I would be happy to help.


Kind regards,

[Staff Member]
Maker Store Team"
"Hi [Staff Member]
The two order numbers ([order number],[order number])are the same one E5XMCS and power supply no price for stepper motor and their drivers.
Cheers 
[customer]

Sent from my iPad
","Hi [customer],

Thanks for letting me know.

I guess the links don't update when new items are added.

Here's a new link for the order which includes 4 x Nema 23 Stepper Motor 2.45N.m, a Power Supply - 36V 450W to help power the stronger stepper drivers, and the cables that are required to connect the electronics:
[payment link]

I also included the updated invoice without the controller and dual power supply that you already purchased and attached it to this email for your reference.

If you have any other questions, please let me know and I would be happy to help.


Kind regards,

[Staff Member]
Maker Store Team"
"Hi [Staff Member]
Could you please explain to me what’s distance 0,1,2 and 3 stand for.
Many thanks
[customer]","Hi [customer],

Thanks for getting back to me. 

I'd love to explain that to you but I'm not quite sure what you're referring to.
Where are you seeing these distances?

If you have any other questions, please let me know and I would be happy to help.


Kind regards,

[Staff Member]
Maker Store Team"
"Hi [Staff Member]
In settings: App UI jogging section
","Hi [customer],

Thanks for your patience while I looked into this.

I found some information for you.
Those values in the settings are used to configure the jogging distances in the jogging section of the app.

So if you have these settings:
image.png
You should see these jogging options:
image.png

If you want more information you can look at this page:
https://www.grbl.org/single-post/one-sender-to-rule-them-all

Please let me know if you have any other questions and I would be happy to help.


Kind regards,

[Staff Member]
Maker Store Team"
,"Hi [customer],

Thanks for waiting.

I saw your other email as well about the shipping for your orders.

According to Aus Post, your order including the limit switch plates is supposed to arrive by today, 24/08/23, at the latest.
If you don't receive it by the end of the day, please let me know and I will investigate with Australia Post.

We have had a lot of orders recently so the warehouse team got a bit backed up.
I talked to them this morning and organised your other order to be sent as soon as possible, it should leave the warehouse by midday today.

Thanks again for your patience. Please let me know if you have any other questions and I would be happy to help.


Kind regards,

[Staff Member]
Maker Store Team"
